PlotID,prefire_LCC,treeheight_mean,BA_HA,QMD,stems_ha,livecancov_loss,deadneedle,deepchar_mean,prop_killedBA,prop_killedSTEM,prop_meanbolescorch,prop_meancharht,prop_surfcharmean,TotalPlotCBI_mean
MILLREBUNB3,0.60540777,12.101226,13.25840769,16.936197,589,0,0,0,0,0,0,0,0,0
MILLREBUNB4,0.651036335,12.64412,22.55879523,22.744746,278,0,0,0,0,0,0,0,0,0
MILLREBUNB5,0.631113183,17.211375,16.7716305,28.30676,267,0,0,0,0,0,0,0,0,0
MILLREBUNB6,0.602171482,14.568,12.44756329,20.796648,367,0,0,0,0,0,0,0,0,0
MILLUNB1,0.534738334,7.481226,5.45013093,7.678187,589,0,0,0,0,0,0,0,0,0
MILLUNB2,0.575089738,8.5739,14.03107675,14.181059,667,0,0,0,0,0,0,0,0,0
MILLUNB3,0.579304456,12.701692,10.04338889,18.226037,289,0,0,0,0,0,0,0,0,0
MILLUNB4,0.658541169,19.52,18.60470168,39.035116,156,0,0,0,0,0,0,0,0,0
MILLUNB6,0.540981325,8.294923,9.39288095,9.10198,722,0,0,0,0,0,0,0,0,0
MILLUNB7,0.617605669,10.957707,14.09630206,19.854951,456,0,0,0,0,0,0,0,0,0
MILLUNB8,0.821174491,31.750308,40.65151094,59.879038,144,0,0,0,0,0,0,0,0,0
MILLUNB9,0.731422063,10.823938,27.37360328,25.841945,522,0,0,0,0,0,0,0,0,0
NORS1,0.849713316,25.405,50.10612689,19.068873,878,0,0,0.15,0.234545506,0.64935065,0.94,0.08,0.13,1.513
NORS10,0.756835684,23.87,34.81962652,35.321994,356,0.96,5.55,0.45,1,1,1,0.82,0.49,2.444
NORS11,0.870887576,29.26,61.99414863,30.993287,822,0.41,3.41,0.15,0.659071146,0.91044776,1,0.2,0.5,1.482
NORS12,0.879351893,31.25,60.15562384,31.848707,755,1,6,0.1,1,1,1,0.86,0.84,2.867
NORS13,0.80806183,21.58,61.96971641,16.926691,1378,0.98,4.63,0.25,0.959144764,0.99173554,0.92,0.09,0.24,2.1705
NORS14,0.674873708,10.8,20.47289417,10.473477,1189,1,5.1,0,1,1,1,0.58,0.63,2.06875
NORS15,0.907602524,30.75,60.82118377,26.676112,1089,0.1,0.39,0,0.044752559,0.57894737,0.9,0.02,0.23,1.494
NORS16,0.854719384,30.175,53.25679295,45.11646,333,1,5.9,0.15,1,1,1,0.76,0.58,2.659
